OVERLAYS
    ">Saving","> إنقاذ"
    ">Checking for updates",">البحث عن تحديثات"


BUTTONS
    "> Settings","> الإعدادات"


MENU ITEMS
    ">Current page",">الصفحه الحاليه"
    ">Menu",">قائمة"
    ">Files",">الملفات"
    ">Themes",">الموضوعات"
    ">Plugins",">الإضافات"
    ">Security",">الأمان"


CURRENT PAGE
    ">Page title",">عنوان الصفحة"
    ">Page keywords",">الصفحة الرئيسية"
    ">Page description",">الصفحة الوصف"
    "> Delete page","> حذف الصفحة"
    "return confirm\('Delete (.*?)\?'\)","عودة تأكيد(' $1?')"


MENU
    ">Website title","> عنوان الموقع"
    ">Page to display on homepage","> الصفحة المراد عرضها على الصفحة الرئيسية"
    ">visit",">يزور"
    "> Add page","> إضافة صفحة"


FILES
    ">Upload","> تحميل"
    ">Delete files","> حذف الملفات"


THEMES AND PLUGINS
    "> Check for updates","> تحقق من وجود تحديثات"
    "return confirm\('Remove (.*?)\?'\)","تأكيد الإرجاع ("إزالة $ 1؟")"
    ">Active",">نشيط"
    "return confirm\('Activate (.*?) theme\?'\)","تأكيد الإرجاع ("تنشيط $ 1؟")
    "> Activate","> تفعيل
    "> More info","> مزيد من المعلومات"
    "> Install","> تثبيت"
    ">Installed version:",">الإصدار المثبت:"
    ">Custom repository",">مستودع مخصص"
    "Enter URL to custom repository","أدخل URL إلى مستودع مخصص"
    "> Add", "> يضيف"
    "> Read more about custom repositories",">اقرأ المزيد عن المستودع المخصص"


SECURITY
    ">Admin login URL","> عنوان URL لتسجيل دخول المسؤول"
    ">Save your login URL to log in to your website next time:",">احفظ عنوان url الخاص بتسجيل الدخول لتسجيل الدخول إلى موقع الويب الخاص بك في المرة القادمة:"
    ">Password",">كلمه السر"
    "Old password","كلمة سر قديمة"
    "New password","كلمة السر الجديدة"
    "> Change password","> تغيير كلمة المرور"

    "> How to restore backup","> كيفية استعادة النسخة الاحتياطية"
    ">Improved security \(Apache only\)",">تحسين الأمن (اباتشي فقط)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">إعادة توجيه HTTPS ، والتخزين المؤقت لمدة 30 يومًا ، وإطارات iframe المسموح بها فقط من نفس المصدر ، ومنع الاستنشاق من نوع Mime ، وسياسة ملفات تعريف الارتباط والمراجع الأكثر صرامة."
    ">ON \(warning: may break your website\)",">قيد التشغيل (تحذير: قد يؤدي إلى تعطل موقعك)"
    ">OFF \(reset htaccess to default\)",">إيقاف (إعادة تعيين htaccess إلى الافتراضي)"
    "> Read more before enabling","> اقرأ المزيد قبل التمكين"
    ">Backup","> دعم"
    "> Backup website","> موقع النسخ الاحتياطي"
    ">Last 5 logins",">آخر 5 عمليات تسجيل دخول"


STATISTICS
    ">Statistics",">الإحصاء"
    ">Today",">اليوم"
    ">This week",">هذا الاسبوع"
    ">Most popular page",">الصفحة الأكثر شعبية"
    ">Pageviews last two weeks",">مشاهدات الصفحة الأسبوعين الماضيين"
    ">Sessions last two weeks",">الجلسات الأسبوعين الماضيين"
    ">Sessions",">الجلسات"
    ">Pageviews",">مشاهدات الصفحة"


FOOTER
    ">News",">الإخبارية"
    ">Community",">تواصل اجتماعي"
    ">Docs",">المستندات"
    ">Donate",">يتبرع"
    ">Shop\/Merch",">متجر"
